class,RandomForest,XGBoost,LightGBM
BENIGN,0.9980,0.9980,0.9980
Bot,0.5032,0.5030,0.5031
DDOS-HOIC,0.9963,0.9962,0.9963
DoS-GoldenEye,0.9450,0.9422,0.9450
DoS-Hulk,0.9999,0.9999,0.9999
DoS-SlowHTTPTest,0.6015,0.5948,0.5675
DoS-Slowloris,0.9653,0.9202,0.9608
FTP-BruteForce,0.8179,0.8064,0.7674
SSH-Bruteforce,0.9911,0.9912,0.9912
WEIGHTED_F1,0.9947,0.9946,0.9943
MACRO_F1,0.8687,0.8613,0.8588
TRAIN_TIME_S,584,851,332
