class,RandomForest,XGBoost,LightGBM
BENIGN,0.9986,0.9990,0.9988
Bot,0.5904,0.6738,0.6336
DDOS-HOIC,0.9974,0.9977,0.9978
DoS-GoldenEye,1.0000,0.9897,0.9999
DoS-Hulk,1.0000,1.0000,1.0000
DoS-SlowHTTPTest,1.0000,0.9982,0.9390
DoS-Slowloris,1.0000,0.9989,0.9996
FTP-BruteForce,0.9921,0.9913,0.9552
SSH-Bruteforce,0.9970,0.9955,0.9943
WEIGHTED_F1,0.9980,0.9984,0.9978
MACRO_F1,0.9528,0.9605,0.9465
TRAIN_TIME_S,834,903,270
